name,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,day,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,levelGroup
22bf79,DeepGnome,Acolyte,20180724T22:37:38Z,Warlock20,Warlock,TheCelestial,20,,260,15,18,18,20,22,24,20,,SleightofHand|Stealth|History|Religion|Insight|Perception|Deception|Performance|Persuasion,Dagger|Dagger,Light_0|SacredFlame_0|EldritchBlast_0|Prestidigitation_0|MageHand_0|MinorIllusion_0|WordofRadiance_0|Guidance_0|SparetheDying_0|CureWounds_1|GuidingBolt_1|ComprehendLanguages_1|IllusoryScript_1|ProtectionFromGoodandEvil_1|MageArmorNoSlotNeeded_1|DisguiseSelfNoSlotNeeded_1|FlamingSphere_2|LessorRestoration_2|Invisibility_2|MistyStep_2|LevitateNoSlotNeeded_2|AlterSelfNoSlotNeeded_2|Daylight_3|Revivify_3|DispelMagic_3|GaseousForm_3|Fireball_3|GuardianofFaith_4|WallofFire_4|DimensionDoor_4|Banishment_4|Polymorph_4|FlameStrike_5|GreaterRestoration_5|SynapticStatic_5|DanceMacabre_5|MassSuggestion_6|CrownofStars_7|Feeblemind_8|PowerWordKill_9,072418,,,,Gnome,Light_0|SacredFlame_0|EldritchBlast_0|Prestidigitation_0|MageHand_0|MinorIllusion_0|WordofRadiance_0|Guidance_0|SparetheDying_0|CureWounds_1|GuidingBolt_1|ComprehendLanguages_1|IllusoryScript_1|ProtectionfromEvilandGood_1|MageArmor_1|DisguiseSelf_1|FlamingSphere_2|LesserRestoration_2|Invisibility_2|MistyStep_2|Levitate_2|AlterSelf_2|Daylight_3|Revivify_3|DispelMagic_3|GaseousForm_3|Fireball_3|GuardianofFaith_4|WallofFire_4|DimensionDoor_4|Banishment_4|Polymorph_4|FlameStrike_5|GreaterRestoration_5|SynapticStatic_5|DanseMacabre_5|MassSuggestion_6|CrownofStars_7|Feeblemind_8|PowerWordKill_9,Dagger,1920
b1bd6b,Human,Hermit,20180801T01:25:29Z,Monk20,Monk,WayoftheFourElements,20,Mobile|Observant,200,20,13,20,15,12,21,11,,Acrobatics|History|Religion|Insight|Medicine,Dagger|Dart|Unarmedstrike,,073118,,,,Human,,Dagger|Dart|UnarmedStrike,1920
e9a755,WoodElf,GuildArtisan,20180709T17:23:10Z,Wizard20,Wizard,SchoolofConjuration,20,SpellSniper|ElvenAccuracy|ElementalAdept|WarCaster|Lucky,122,13,10,16,14,20,14,12,,Arcana|Insight|Medicine|Perception|Persuasion,Quarterstaff,BladeWard_0|Firebolt_0|GreenFlameBlade_0|RayofFrost_0|Message_0|ControlFlames_0|Identify(Free)_1|FindFamiliar_1|Catapault_1|RayOfSickness_1|DisguiseSelf_1|MistyStep(Free)_2|MirrorImage_2|ScorchingRay_2|Nystul'sMagicAura_2|MindSpike_2|Counterspell(Signature)_3|Fireball(Signature)_3|Counterspell_3|DispelMagic_3|SummonLesserDemons_3|VampiricTouch_3|DimensionDoor_4|SummonGreaterDemon_4|Mordenkainen'sFaithfulHound_4|SteelWindStrike_5|Bigby'sHand_5|Contingency_6|Tenser'sTransformation_6|ReverseGravity_7|Forcecage_7|Sunburst_8|AntimagicShield_8|Clone(HasAClone)_8|Wish_9|Invulnerability_9,070918,,,,Elf,BladeWard_0|FireBolt_0|GreenFlameBlade_0|RayofFrost_0|Message_0|ControlFlames_0|Identify_1|FindFamiliar_1|Catapult_1|RayofSickness_1|DisguiseSelf_1|MistyStep_2|MirrorImage_2|ScorchingRay_2|NystulsMagicAura_2|MindSpike_2|Counterspell_3|Fireball_3|Counterspell_3|DispelMagic_3|SummonLesserDemons_3|VampiricTouch_3|DimensionDoor_4|SummonGreaterDemon_4|MordenkainensFaithfulHound_4|SteelWindStrike_5|BigbysHand_5|Contingency_6|TensersTransformation_6|ReverseGravity_7|Forcecage_7|Sunburst_8|AntimagicField_8|Wish_9|Invulnerability_9,Quarterstaff,1920
68bf99,Kenku,ClanCrafter,20180617T23:06:53Z,Warlock20,Warlock,TheGreatOldOne,20,Actor|WarCaster,220,16,12,20,16,14,14,21,,Stealth|Arcana|History|Religion|Insight|Deception,CBowlight|Dagger|Dagger,,061718,,,,Kenku,,CBowLight|Dagger,1920
7b7c1c,Human,FolkHero,20180908T19:42:47Z,Cleric20,Cleric,WarDomain,20,,203,24,20,16,20,12,20,15,,Religion|AnimalHandling|Insight|Survival,Spear|ThePowerhead|GaeBolga,DivineFavor_1|ShieldofFaith_1|MagicWeapon_2|SpiritualWeapon_2|Crusader'sMantle_3|SpiritGuardian_3|FreedomofMovement_4|Stoneskin_4|FlameStrike_5|HoldMonster_5,090818,,,,Human,DivineFavor_1|ShieldofFaith_1|MagicWeapon_2|SpiritualWeapon_2|CrusadersMantle_3|SpiritGuardians_3|FreedomofMovement_4|Stoneskin_4|FlameStrike_5|HoldMonster_5,Spear,1920
c4f62f,Dragonborn,Hermit,20180429T21:11:31Z,Barbarian20,Barbarian,PathoftheTotemWarrior,20,,285,20,24,16,24,12,12,12,,Religion|Medicine|Survival|Intimidation,Greataxe|Handaxe|Javelin,,042918,,,,Dragonborn,,Greataxe|Handaxe|Javelin,1920
1ed728,HalfElf,FactionAgent,20180421T14:08:42Z,Sorcerer20,Sorcerer,DraconicBloodline,20,Actor|Alert|SpellSniper|ElvenAccuracy|ElementalAdept,182,17,14,18,18,15,18,24,,Arcana|Insight|Perception|Deception|Intimidation|Persuasion,CBowlight|Dagger,,042118,,,,HalfElf,,CBowLight|Dagger,1920
eecfc2,Tiefling,Charlatan,20180517T23:12:06Z,Warlock20,Warlock,TheHexblade,20,HeavilyArmored,260,18,8,10,20,12,14,20,,SleightofHand|Investigation|Deception|Intimidation,Dagger|Greataxe,,051718,,,,Tiefling,,Dagger|Greataxe,1920
7ff7d2,Tiefling,Noble,20180517T23:13:52Z,Paladin20,Paladin,OathofAncients,20,Tough|Lucky,280,20,20,12,14,12,12,20,,Athletics|History|Intimidation|Persuasion,Javelin|Greataxe|Longsword,EnsnaringStrike_1|SpeakwithAnimals_1|Moonbeam_2|MistyStep_2|PlantGrowth_3|ProtectionfromEnergy_3|IceStorm_4|Stoneskin_4|CommunewithNature_5|TreeStride_5,051718,,,,Tiefling,EnsnaringStrike_1|SpeakwithAnimals_1|Moonbeam_2|MistyStep_2|PlantGrowth_3|ProtectionfromEnergy_3|IceStorm_4|Stoneskin_4|CommunewithNature_5|TreeStride_5,Javelin|Greataxe|Longsword,1920
370d36,GrayDwarf,Acolyte,20180706T21:03:30Z,Paladin19,Paladin,OathofAncients,19,WarCaster|Skilled|Resilient,266,21,20,14,19,8,12,18,,Religion|Insight|Medicine|Perception|Deception|Intimidation|Persuasion,Longsword,EnsnaringStrike_1|SpeakwithAnimals_1|Moonbeam_2|MistyStep_2|PlantGrowth_3|ProtectionfromEnergy_3|IceStorm_4|Stoneskin_4|CommunewithNature_5|TreeStride_5,070618,,,,Dwarf,EnsnaringStrike_1|SpeakwithAnimals_1|Moonbeam_2|MistyStep_2|PlantGrowth_3|ProtectionfromEnergy_3|IceStorm_4|Stoneskin_4|CommunewithNature_5|TreeStride_5,Longsword,1920
